id,category,difficulty,like
01PHtLBzCXDHJNnEIArw,Travel,easy,0
08Ex4qLKZSL6m4uGcAc5,History,medium,0
0K0xuDeXiNo49ulkPS9A,Biology,easy,0
0TbTlDbxr0qGDTtTAVqX,Science,medium,0
0WJIiit5zaJ83ZEvIRZx,Science,medium,0
1Puc7A5scDoeVpLqp8CV,Biology,medium,0
1r8vDOyXnnaybDL06imL,History,easy,0
1uCrbjKGiarYswKvFYKg,Biology,hard,0
2so3y5EFUUj1Aje7toxp,Art,easy,0
3F5yAfdkHudVpSfADqKT,Science,medium,0
3lhFXq0c9346Kgpt5Cx7,Culture,hard,0
3pRqA8VKBvWfIorgeiqa,Biology,easy,0
4EJuKRaIDxD3ls6s0mah,Culture,easy,0
4G1QHl2EadvMXYPu71Wh,Art,medium,0
4j7qYHaeTVVmp0bQ1v2j,Biology,medium,0
4kMzx2XvIJqo2QIZACtx,Biology,medium,0
4oZAoZfK5PIfxnYG9M5n,Travel,hard,0
4ossYKx9FVmdXIGTIKKX,Travel,medium,0
69uWJzUXNkgo2GCevpvC,Travel,medium,0
6AsVqtngsQnOKbRUw8fj,History,medium,0
6YU2DfSRh4SF1Uqz1I3j,Culture,medium,0
6bvq3Ty7yJ7WHSP9q3ic,Geography,hard,0
6cLVZ8fwYlITkamNpeHd,History,easy,0
74rEorK3ni7UEGCrZqTd,Science,easy,0
78ngvsnExMQKcEyMQpSJ,History,easy,0
7bmKK6KGdISJ5jhoczi2,Geography,medium,0
7lEYOY881RRlpRrl1NHe,Biology,easy,0
8eeNLtsCfqXFTxhAFgsC,Geography,easy,0
95td6B38IOERfdLiTky0,Geography,easy,0
9TBluyxiYeYo4LN5lDUr,History,medium,0
AKes1kMp8A6RRUc8h8Ns,Culture,easy,0
B1aEqDtJEHYIXFIJN56o,Travel,medium,0
Di2Q7z6QQbrVDKKNTPXb,Art,easy,0
DjgY0k3t4GoTGhv9WB27,History,medium,0
EEgeI2OjlNRFIANq3knk,Science,easy,0
EwgMHTFNb00CWalJ0QPL,Art,medium,0
F6TePl9Q7ajuTQLAFLD9,Art,medium,0
FGZfANAVNi61Pl0NtD3B,Art,easy,0
FjM28fL790kcgqUUMRat,Biology,easy,0
